UBIGEO,DEPARTAMENTO,PROVINCIA,PROVINCIA,DISTRITO,DISTRITO,mean,percentile_10,percentile_90,risk_index,risk_flag
160704,16,07,DATEM DEL MARAÑON,04,MORONA,23.29438722067039,23.00723648071289,23.574317932128906,0.0,0
160705,16,07,DATEM DEL MARAÑON,05,PASTAZA,23.19563252217061,23.04653549194336,23.342288970947266,0.0,0
160804,16,08,PUTUMAYO,04,YAGUAS,23.13107152478448,23.02738380432129,23.24355697631836,0.0,0
160401,16,04,MARISCAL RAMON CASTILLA,01,RAMON CASTILLA,23.11336083769273,23.043514251708984,23.17600440979004,0.0,0
160404,16,04,MARISCAL RAMON CASTILLA,04,SAN PABLO,23.082375742906443,23.00322914123535,23.15278434753418,0.0,0
160402,16,04,MARISCAL RAMON CASTILLA,02,PEBAS,23.03227712023161,22.960729598999023,23.094343185424805,0.0,0
160206,16,02,ALTO AMAZONAS,06,LAGUNAS,23.00753662109375,22.871299743652344,23.10062026977539,0.0,0
160105,16,01,MAYNAS,05,LAS AMAZONAS,22.978733888968893,22.89188575744629,23.062782287597656,0.0,0
160305,16,03,LORETO,05,URARINAS,22.9557310814951,22.8804931640625,23.044811248779297,0.0,0
160801,16,08,PUTUMAYO,01,PUTUMAYO,22.94466600471369,22.79761505126953,23.10974884033203,0.0,0
160101,16,01,MAYNAS,01,IQUITOS,22.937227884928387,22.843042373657227,22.99913215637207,0.0,0
160104,16,01,MAYNAS,04,INDIANA,22.930637428977274,22.856040954589844,23.016782760620117,0.0,0
160706,16,07,DATEM DEL MARAÑON,06,ANDOAS,22.927548241677545,22.681631088256836,23.162797927856445,0.0,0
160403,16,04,MARISCAL RAMON CASTILLA,03,YAVARI,22.92440698294243,22.750225067138672,23.13504981994629,0.0,0
160301,16,03,LORETO,01,NAUTA,22.915900735294116,22.836206436157227,22.99016761779785,0.0,0
